Date,ETF_ID,Action,Price,Shares,Cash Before,Cash After,Portfolio Value,Action Value,Currently Held
2023-08-07,0,BUY,441.647,19,10000.0,1524.794,9916.09,0.8296328,19.0
2023-08-07,1,BUY,91.297,14,1524.794,233.854,9903.3,0.83856344,14.0
2023-08-07,2,BUY,22.133,5,233.854,122.082,9902.2,0.46048483,5.0
2023-08-07,3,HOLD,179.78,0,122.082,122.082,9902.2,0.21199463,0.0
2023-08-08,0,BUY,439.726,0,122.082,122.082,9868.6,0.661576,19.0
2023-08-08,1,BUY,91.514,1,122.082,29.653,9867.69,0.737805,15.0
2023-08-08,2,SELL_FAILED,22.106,0,29.653,29.653,9867.69,-0.34457856,5.0
2023-08-08,3,SELL_FAILED,178.64,0,29.653,29.653,9867.69,-0.4075653,0.0
2023-08-09,0,SELL_FAILED,436.787,0,29.653,29.653,9813.6,-0.7802668,19.0
2023-08-09,1,HOLD,91.58,0,29.653,29.653,9813.6,0.16234882,15.0
2023-08-09,2,SELL,22.259,1,29.653,51.689,9813.38,-0.98897225,4.0
2023-08-09,3,SELL_FAILED,177.79,0,51.689,51.689,9813.38,-0.9863955,0.0
2023-08-10,0,SELL_FAILED,436.944,0,51.689,51.689,9806.97,-0.3540839,19.0
2023-08-10,1,BUY,90.985,0,51.689,51.689,9806.97,0.43189466,15.0
2023-08-10,2,SELL,22.142,2,51.689,95.53,9806.52,-0.9584359,2.0
2023-08-10,3,SELL_FAILED,177.6,0,95.53,95.53,9806.52,-0.9544542,0.0
2023-08-11,0,BUY,436.689,0,95.53,95.53,9797.36,0.548534,19.0
2023-08-11,1,BUY,90.702,1,95.53,3.921,9796.46,0.7223424,16.0
2023-08-11,2,SELL_FAILED,22.106,0,3.921,3.921,9796.46,-0.5540589,2.0
2023-08-11,3,SELL_FAILED,177.6,0,3.921,3.921,9796.46,-0.6099475,0.0
2023-08-14,0,SELL_FAILED,439.099,0,3.921,3.921,9840.97,-0.884338,19.0
2023-08-14,1,HOLD,90.636,0,3.921,3.921,9840.97,0.036890313,16.0
2023-08-14,2,SELL_FAILED,21.997,0,3.921,3.921,9840.97,-0.98992664,2.0
2023-08-14,3,SELL_FAILED,177.06,0,3.921,3.921,9840.97,-0.99168307,0.0
2023-08-15,0,SELL_FAILED,433.984,0,3.921,3.921,9739.33,-0.8841774,19.0
2023-08-15,1,HOLD,90.39,0,3.921,3.921,9739.33,0.037691597,16.0
2023-08-15,2,SELL_FAILED,21.735,0,3.921,3.921,9739.33,-0.98992175,2.0
2023-08-15,3,SELL_FAILED,176.59,0,3.921,3.921,9739.33,-0.9916782,0.0
2023-08-16,0,SELL_FAILED,430.8,0,3.921,3.921,9675.18,-0.88440764,19.0
2023-08-16,1,HOLD,90.173,0,3.921,3.921,9675.18,0.03714049,16.0
2023-08-16,2,SELL_FAILED,21.644,0,3.921,3.921,9675.18,-0.98992157,2.0
2023-08-16,3,SELL_FAILED,175.57,0,3.921,3.921,9675.18,-0.9916866,0.0
2023-08-17,0,SELL_FAILED,427.517,0,3.921,3.921,9611.4,-0.8843734,19.0
2023-08-17,1,HOLD,90.079,0,3.921,3.921,9611.4,0.037292596,16.0
2023-08-17,2,SELL_FAILED,21.698,0,3.921,3.921,9611.4,-0.989918,2.0
2023-08-17,3,SELL_FAILED,175.3,0,3.921,3.921,9611.4,-0.9916877,0.0
2023-08-18,0,SELL_FAILED,427.723,0,3.921,3.921,9618.79,-0.88419765,19.0
2023-08-18,1,HOLD,90.277,0,3.921,3.921,9618.79,0.03966471,16.0
2023-08-18,2,SELL_FAILED,21.852,0,3.921,3.921,9618.79,-0.9898834,2.0
2023-08-18,3,SELL_FAILED,175.33,0,3.921,3.921,9618.79,-0.9916957,0.0
2023-08-21,0,SELL_FAILED,430.506,0,3.921,3.921,9664.31,-0.8843985,19.0
2023-08-21,1,HOLD,89.824,0,3.921,3.921,9664.31,0.036464177,16.0
2023-08-21,2,SELL_FAILED,21.798,0,3.921,3.921,9664.31,-0.9899355,2.0
2023-08-21,3,SELL_FAILED,175.81,0,3.921,3.921,9664.31,-0.99168086,0.0
2023-08-22,0,SELL_FAILED,429.34,0,3.921,3.921,9643.68,-0.8842112,19.0
2023-08-22,1,HOLD,89.918,0,3.921,3.921,9643.68,0.037010342,16.0
2023-08-22,2,SELL_FAILED,21.807,0,3.921,3.921,9643.68,-0.9899305,2.0
2023-08-22,3,SELL_FAILED,176.1,0,3.921,3.921,9643.68,-0.9916757,0.0
2023-08-23,0,SELL_FAILED,434.122,0,3.921,3.921,9748.38,-0.88437426,19.0
2023-08-23,1,HOLD,90.777,0,3.921,3.921,9748.38,0.037705403,16.0
2023-08-23,2,SELL_FAILED,21.852,0,3.921,3.921,9748.38,-0.9899109,2.0
2023-08-23,3,SELL_FAILED,177.89,0,3.921,3.921,9748.38,-0.9916938,0.0
2023-08-24,0,SELL_FAILED,428.105,0,3.921,3.921,9630.78,-0.8841914,19.0
2023-08-24,1,HOLD,90.57,0,3.921,3.921,9630.78,0.03881984,16.0
2023-08-24,2,SELL_FAILED,21.87,0,3.921,3.921,9630.78,-0.9899012,2.0
2023-08-24,3,SELL_FAILED,177.85,0,3.921,3.921,9630.78,-0.99168795,0.0
2023-08-25,0,SELL_FAILED,431.123,0,3.921,3.921,9687.64,-0.8843524,19.0
2023-08-25,1,HOLD,90.513,0,3.921,3.921,9687.64,0.037495356,16.0
2023-08-25,2,SELL_FAILED,22.087,0,3.921,3.921,9687.64,-0.9899163,2.0
2023-08-25,3,SELL_FAILED,177.62,0,3.921,3.921,9687.64,-0.9916876,0.0
2023-08-28,0,SELL_FAILED,433.857,0,3.921,3.921,9742.68,-0.88429093,19.0
2023-08-28,1,HOLD,90.711,0,3.921,3.921,9742.68,0.03782757,16.0
2023-08-28,2,SELL_FAILED,22.051,0,3.921,3.921,9742.68,-0.9899099,2.0
2023-08-28,3,SELL_FAILED,178.13,0,3.921,3.921,9742.68,-0.9916902,0.0
2023-08-29,0,SELL_FAILED,440.128,0,3.921,3.921,9871.37,-0.88416547,19.0
2023-08-29,1,HOLD,91.297,0,3.921,3.921,9871.37,0.03814507,16.0
2023-08-29,2,SELL_FAILED,22.133,0,3.921,3.921,9871.37,-0.9899161,2.0
2023-08-29,3,SELL_FAILED,179.87,0,3.921,3.921,9871.37,-0.99167895,0.0
2023-08-30,0,SELL_FAILED,441.941,0,3.921,3.921,9905.26,-0.88432753,19.0
2023-08-30,1,HOLD,91.259,0,3.921,3.921,9905.26,0.037188344,16.0
2023-08-30,2,SELL_FAILED,22.16,0,3.921,3.921,9905.26,-0.9899242,2.0
2023-08-30,3,SELL_FAILED,180.32,0,3.921,3.921,9905.26,-0.9916807,0.0
2023-08-31,0,SELL_FAILED,441.294,0,3.921,3.921,9895.26,-0.8842,19.0
2023-08-31,1,HOLD,91.391,0,3.921,3.921,9895.26,0.038405906,16.0
2023-08-31,2,SELL_FAILED,22.25,0,3.921,3.921,9895.26,-0.98990446,2.0
2023-08-31,3,SELL_FAILED,180.02,0,3.921,3.921,9895.26,-0.99168724,0.0
2023-09-01,0,SELL_FAILED,442.117,0,3.921,3.921,9903.86,-0.8844454,19.0
2023-09-01,1,HOLD,90.918,0,3.921,3.921,9903.86,0.036016777,16.0
2023-09-01,2,SELL_FAILED,22.513,0,3.921,3.921,9903.86,-0.9899414,2.0
2023-09-01,3,SELL_FAILED,180.11,0,3.921,3.921,9903.86,-0.991679,0.0
2023-09-05,0,SELL_FAILED,440.207,0,3.921,3.921,9859.9,-0.884455,19.0
2023-09-05,1,HOLD,90.425,0,3.921,3.921,9859.9,0.03745265,16.0
2023-09-05,2,SELL_FAILED,22.621,0,3.921,3.921,9859.9,-0.9899108,2.0
2023-09-05,3,SELL_FAILED,178.64,0,3.921,3.921,9859.9,-0.9916951,0.0
2023-09-06,0,SELL_FAILED,437.247,0,3.921,3.921,9802.41,-0.884227,19.0
2023-09-06,1,HOLD,90.34,0,3.921,3.921,9802.41,0.037572674,16.0
2023-09-06,2,SELL_FAILED,22.676,0,3.921,3.921,9802.41,-0.98992133,2.0
2023-09-06,3,SELL_FAILED,177.83,0,3.921,3.921,9802.41,-0.9916801,0.0
2023-09-07,0,SELL_FAILED,435.905,0,3.921,3.921,9781.36,-0.8841742,19.0
2023-09-07,1,HOLD,90.624,0,3.921,3.921,9781.36,0.03867834,16.0
2023-09-07,2,SELL_FAILED,22.63,0,3.921,3.921,9781.36,-0.98990196,2.0
2023-09-07,3,SELL_FAILED,178.02,0,3.921,3.921,9781.36,-0.9916869,0.0
2023-09-08,0,SELL_FAILED,436.561,0,3.921,3.921,9794.67,-0.8843605,19.0
2023-09-08,1,HOLD,90.671,0,3.921,3.921,9794.67,0.036301255,16.0
2023-09-08,2,SELL_FAILED,22.676,0,3.921,3.921,9794.67,-0.9899413,2.0
2023-09-08,3,SELL_FAILED,178.08,0,3.921,3.921,9794.67,-0.9916747,0.0
2023-09-11,0,SELL_FAILED,439.433,0,3.921,3.921,9847.84,-0.8843069,19.0
2023-09-11,1,HOLD,90.567,0,3.921,3.921,9847.84,0.037968062,16.0
2023-09-11,2,SELL_FAILED,22.811,0,3.921,3.921,9847.84,-0.98991024,2.0
2023-09-11,3,SELL_FAILED,178.41,0,3.921,3.921,9847.84,-0.99168867,0.0
2023-09-12,0,SELL_FAILED,437.022,0,3.921,3.921,9802.66,-0.88435704,19.0
2023-09-12,1,HOLD,90.596,0,3.921,3.921,9802.66,0.03859877,16.0
2023-09-12,2,SELL_FAILED,22.893,0,3.921,3.921,9802.66,-0.9898941,2.0
2023-09-12,3,SELL_FAILED,177.49,0,3.921,3.921,9802.66,-0.9916983,0.0
2023-09-13,0,SELL_FAILED,437.532,0,3.921,3.921,9814.61,-0.88439196,19.0
2023-09-13,1,HOLD,90.728,0,3.921,3.921,9814.61,0.0373009,16.0
2023-09-13,2,SELL_FAILED,22.965,0,3.921,3.921,9814.61,-0.9899186,2.0
2023-09-13,3,SELL_FAILED,177.08,0,3.921,3.921,9814.61,-0.99168754,0.0
2023-09-14,0,SELL_FAILED,441.304,0,3.921,3.921,9884.69,-0.88429075,19.0
2023-09-14,1,HOLD,90.605,0,3.921,3.921,9884.69,0.037150934,16.0
2023-09-14,2,SELL_FAILED,23.155,0,3.921,3.921,9884.69,-0.9899274,2.0
2023-09-14,3,SELL_FAILED,177.17,0,3.921,3.921,9884.69,-0.9916781,0.0
2023-09-15,0,SELL_FAILED,435.987,0,3.921,3.921,9780.23,-0.88431525,19.0
2023-09-15,1,HOLD,90.397,0,3.921,3.921,9780.23,0.037179448,16.0
2023-09-15,2,SELL_FAILED,23.101,0,3.921,3.921,9780.23,-0.9899245,2.0
2023-09-15,3,SELL_FAILED,178.34,0,3.921,3.921,9780.23,-0.99168324,0.0
2023-09-18,0,SELL_FAILED,436.243,0,3.921,3.921,9787.19,-0.8843421,19.0
2023-09-18,1,HOLD,90.529,0,3.921,3.921,9787.19,0.037252836,16.0
2023-09-18,2,SELL_FAILED,23.092,0,3.921,3.921,9787.19,-0.98992264,2.0
2023-09-18,3,SELL_FAILED,179.39,0,3.921,3.921,9787.19,-0.99168426,0.0
2023-09-19,0,SELL_FAILED,435.338,0,3.921,3.921,9765.79,-0.8843288,19.0
2023-09-19,1,HOLD,90.264,0,3.921,3.921,9765.79,0.037475597,16.0
2023-09-19,2,SELL_FAILED,23.11,0,3.921,3.921,9765.79,-0.98991764,2.0
2023-09-19,3,SELL_FAILED,179.22,0,3.921,3.921,9765.79,-0.9916867,0.0
2023-09-20,0,SELL_FAILED,431.336,0,3.921,3.921,9688.62,-0.8843003,19.0
2023-09-20,1,HOLD,90.217,0,3.921,3.921,9688.62,0.03746854,16.0
2023-09-20,2,SELL_FAILED,22.92,0,3.921,3.921,9688.62,-0.98992103,2.0
2023-09-20,3,SELL_FAILED,179.35,0,3.921,3.921,9688.62,-0.9916825,0.0
2023-09-21,0,SELL_FAILED,424.207,0,3.921,3.921,9543.18,-0.8842439,19.0
2023-09-21,1,HOLD,89.602,0,3.921,3.921,9543.18,0.037394855,16.0
2023-09-21,2,SELL_FAILED,22.848,0,3.921,3.921,9543.18,-0.9899212,2.0
2023-09-21,3,SELL_FAILED,178.05,0,3.921,3.921,9543.18,-0.9916826,0.0
2023-09-22,0,SELL_FAILED,423.253,0,3.921,3.921,9531.14,-0.8843193,19.0
2023-09-22,1,HOLD,89.98,0,3.921,3.921,9531.14,0.036618706,16.0
2023-09-22,2,SELL_FAILED,22.866,0,3.921,3.921,9531.14,-0.9899329,2.0
2023-09-22,3,SELL_FAILED,178.62,0,3.921,3.921,9531.14,-0.9916789,0.0
2023-09-25,0,SELL_FAILED,425.033,0,3.921,3.921,9553.38,-0.88428867,19.0
2023-09-25,1,HOLD,89.27,0,3.921,3.921,9553.38,0.03758309,16.0
2023-09-25,2,SELL_FAILED,22.757,0,3.921,3.921,9553.38,-0.9899182,2.0
2023-09-25,3,SELL_FAILED,177.7,0,3.921,3.921,9553.38,-0.99168426,0.0
2023-09-26,0,SELL_FAILED,418.788,0,3.921,3.921,9432.86,-0.884277,19.0
2023-09-26,1,HOLD,89.157,0,3.921,3.921,9432.86,0.03785426,16.0
2023-09-26,2,SELL_FAILED,22.73,0,3.921,3.921,9432.86,-0.9899149,2.0
2023-09-26,3,SELL_FAILED,176.28,0,3.921,3.921,9432.86,-0.99168473,0.0
2023-09-27,0,SELL_FAILED,418.956,0,3.921,3.921,9431.3,-0.8842992,19.0
2023-09-27,1,HOLD,88.844,0,3.921,3.921,9431.3,0.0373348,16.0
2023-09-27,2,SELL_FAILED,22.857,0,3.921,3.921,9431.3,-0.98992276,2.0
2023-09-27,3,SELL_FAILED,174.1,0,3.921,3.921,9431.3,-0.9916828,0.0
2023-09-28,0,SELL_FAILED,421.384,0,3.921,3.921,9481.62,-0.8842834,19.0
2023-09-28,1,HOLD,89.109,0,3.921,3.921,9481.62,0.03794714,16.0
2023-09-28,2,SELL_FAILED,22.829,0,3.921,3.921,9481.62,-0.9899094,2.0
2023-09-28,3,SELL_FAILED,173.23,0,3.921,3.921,9481.62,-0.99168926,0.0
2023-09-29,0,SELL_FAILED,420.362,0,3.921,3.921,9460.35,-0.8842435,19.0
2023-09-29,1,HOLD,89.024,0,3.921,3.921,9460.35,0.038580377,16.0
2023-09-29,2,SELL_FAILED,22.585,0,3.921,3.921,9460.35,-0.98989934,2.0
2023-09-29,3,SELL_FAILED,171.45,0,3.921,3.921,9460.35,-0.9916915,0.0
2023-10-02,0,SELL_FAILED,420.195,0,3.921,3.921,9446.92,-0.8842622,19.0
2023-10-02,1,HOLD,88.404,0,3.921,3.921,9446.92,0.03883302,16.0
2023-10-02,2,SELL_FAILED,22.413,0,3.921,3.921,9446.92,-0.98989314,2.0
2023-10-02,3,SELL_FAILED,169.65,0,3.921,3.921,9446.92,-0.9916944,0.0
2023-10-03,0,SELL_FAILED,414.57,0,3.921,3.921,9328.76,-0.88429934,19.0
2023-10-03,1,HOLD,87.711,0,3.921,3.921,9328.76,0.037754744,16.0
2023-10-03,2,SELL_FAILED,22.314,0,3.921,3.921,9328.76,-0.98991686,2.0
2023-10-03,3,SELL_FAILED,169.16,0,3.921,3.921,9328.76,-0.9916838,0.0
2023-10-04,0,SELL_FAILED,417.589,0,3.921,3.921,9394.74,-0.8844553,19.0
2023-10-04,1,HOLD,88.328,0,3.921,3.921,9394.74,0.036357924,16.0
2023-10-04,2,SELL_FAILED,21.689,0,3.921,3.921,9394.74,-0.9899335,2.0
2023-10-04,3,SELL_FAILED,169.14,0,3.921,3.921,9394.74,-0.9916843,0.0
2023-10-05,0,SELL_FAILED,417.431,0,3.921,3.921,9392.4,-0.8842741,19.0
2023-10-05,1,HOLD,88.385,0,3.921,3.921,9392.4,0.038551006,16.0
2023-10-05,2,SELL_FAILED,21.563,0,3.921,3.921,9392.4,-0.9898996,2.0
2023-10-05,3,SELL_FAILED,168.83,0,3.921,3.921,9392.4,-0.99169356,0.0
2023-10-06,0,SELL_FAILED,422.387,0,3.921,3.921,9481.27,-0.88446003,19.0
2023-10-06,1,HOLD,88.044,0,3.921,3.921,9481.27,0.037206262,16.0
2023-10-06,2,SELL_FAILED,21.644,0,3.921,3.921,9481.27,-0.98991686,2.0
2023-10-06,3,SELL_FAILED,169.7,0,3.921,3.921,9481.27,-0.9916923,0.0
2023-10-09,0,SELL_FAILED,425.092,0,3.921,3.921,9548.14,-0.8843881,19.0
2023-10-09,1,HOLD,88.955,0,3.921,3.921,9548.14,0.03759782,16.0
2023-10-09,2,SELL_FAILED,22.097,0,3.921,3.921,9548.14,-0.9899153,2.0
2023-10-09,3,SELL_FAILED,172.82,0,3.921,3.921,9548.14,-0.9916889,0.0
2023-10-10,0,SELL_FAILED,427.304,0,3.921,3.921,9588.7,-0.88425267,19.0
2023-10-10,1,HOLD,88.87,0,3.921,3.921,9588.7,0.03775296,16.0
2023-10-10,2,SELL_FAILED,22.042,0,3.921,3.921,9588.7,-0.9899152,2.0
2023-10-10,3,SELL_FAILED,172.53,0,3.921,3.921,9588.7,-0.9916853,0.0
2023-10-11,0,SELL_FAILED,429.055,0,3.921,3.921,9628.25,-0.88414764,19.0
2023-10-11,1,HOLD,89.278,0,3.921,3.921,9628.25,0.03883284,16.0
2023-10-11,2,SELL_FAILED,21.916,0,3.921,3.921,9628.25,-0.98990077,2.0
2023-10-11,3,SELL_FAILED,173.79,0,3.921,3.921,9628.25,-0.99168676,0.0
2023-10-12,0,SELL_FAILED,426.439,0,3.921,3.921,9566.22,-0.8843457,19.0
2023-10-12,1,HOLD,88.509,0,3.921,3.921,9566.22,0.037562855,16.0
2023-10-12,2,SELL_FAILED,21.907,0,3.921,3.921,9566.22,-0.9899161,2.0
2023-10-12,3,SELL_FAILED,173.26,0,3.921,3.921,9566.22,-0.9916878,0.0
2023-10-13,0,SELL_FAILED,424.315,0,3.921,3.921,9533.1,-0.8843968,19.0
2023-10-13,1,HOLD,88.889,0,3.921,3.921,9533.1,0.03612848,16.0
2023-10-13,2,SELL_FAILED,22.486,0,3.921,3.921,9533.1,-0.9899424,2.0
2023-10-13,3,SELL_FAILED,178.83,0,3.921,3.921,9533.1,-0.99167734,0.0
2023-10-16,0,SELL_FAILED,428.779,0,3.921,3.921,9609.87,-0.88426065,19.0
2023-10-16,1,HOLD,88.395,0,3.921,3.921,9609.87,0.039189655,16.0
2023-10-16,2,SELL_FAILED,22.413,0,3.921,3.921,9609.87,-0.9898853,2.0
2023-10-16,3,SELL_FAILED,177.96,0,3.921,3.921,9609.87,-0.9917,0.0
2023-10-17,0,SELL_FAILED,428.759,0,3.921,3.921,9599.44,-0.884213,19.0
2023-10-17,1,HOLD,87.759,0,3.921,3.921,9599.44,0.037739627,16.0
2023-10-17,2,SELL_FAILED,22.477,0,3.921,3.921,9599.44,-0.9899163,2.0
2023-10-17,3,SELL_FAILED,178.29,0,3.921,3.921,9599.44,-0.9916821,0.0
2023-10-18,0,SELL_FAILED,423.046,0,3.921,3.921,9484.76,-0.88421965,19.0
2023-10-18,1,HOLD,87.351,0,3.921,3.921,9484.76,0.038014606,16.0
2023-10-18,2,SELL_FAILED,22.676,0,3.921,3.921,9484.76,-0.9899107,2.0
2023-10-18,3,SELL_FAILED,180.87,0,3.921,3.921,9484.76,-0.9916864,0.0
2023-10-19,0,SELL_FAILED,419.329,0,3.921,3.921,9409.3,-0.8842887,19.0
2023-10-19,1,HOLD,87.019,0,3.921,3.921,9409.3,0.03782373,16.0
2023-10-19,2,SELL_FAILED,22.911,0,3.921,3.921,9409.3,-0.9899137,2.0
2023-10-19,3,SELL_FAILED,183.09,0,3.921,3.921,9409.3,-0.9916866,0.0
2023-10-20,0,SELL_FAILED,414.176,0,3.921,3.921,9316.05,-0.884197,19.0
2023-10-20,1,HOLD,87.332,0,3.921,3.921,9316.05,0.038646024,16.0
2023-10-20,2,SELL_FAILED,22.739,0,3.921,3.921,9316.05,-0.98990387,2.0
2023-10-20,3,SELL_FAILED,183.59,0,3.921,3.921,9316.05,-0.99168545,0.0
2023-10-23,0,SELL_FAILED,413.459,0,3.921,3.921,9307.6,-0.88442194,19.0
2023-10-23,1,HOLD,87.673,0,3.921,3.921,9307.6,0.036931235,16.0
2023-10-23,2,SELL_FAILED,22.594,0,3.921,3.921,9307.6,-0.9899236,2.0
2023-10-23,3,SELL_FAILED,182.97,0,3.921,3.921,9307.6,-0.99168545,0.0
2023-10-24,0,SELL_FAILED,416.576,0,3.921,3.921,9371.36,-0.8844388,19.0
2023-10-24,1,HOLD,87.987,0,3.921,3.921,9371.36,0.037245188,16.0
2023-10-24,2,SELL_FAILED,22.35,0,3.921,3.921,9371.36,-0.9899151,2.0
2023-10-24,3,SELL_FAILED,182.95,0,3.921,3.921,9371.36,-0.99169225,0.0
2023-10-25,0,SELL_FAILED,410.597,0,3.921,3.921,9247.6,-0.8842713,19.0
2023-10-25,1,HOLD,87.332,0,3.921,3.921,9247.6,0.039206766,16.0
2023-10-25,2,SELL_FAILED,22.513,0,3.921,3.921,9247.6,-0.98988676,2.0
2023-10-25,3,SELL_FAILED,183.72,0,3.921,3.921,9247.6,-0.9916975,0.0
2023-10-26,0,SELL_FAILED,405.68,0,3.921,3.921,9163.21,-0.88429135,19.0
2023-10-26,1,HOLD,87.92,0,3.921,3.921,9163.21,0.03771216,16.0
2023-10-26,2,SELL_FAILED,22.323,0,3.921,3.921,9163.21,-0.9899168,2.0
2023-10-26,3,SELL_FAILED,184.01,0,3.921,3.921,9163.21,-0.9916843,0.0
2023-10-27,0,SELL_FAILED,403.841,0,3.921,3.921,9128.41,-0.88433653,19.0
2023-10-27,1,HOLD,87.892,0,3.921,3.921,9128.41,0.03793872,16.0
2023-10-27,2,SELL_FAILED,22.621,0,3.921,3.921,9128.41,-0.9899086,2.0
2023-10-27,3,SELL_FAILED,186.15,0,3.921,3.921,9128.41,-0.9916905,0.0
2023-10-30,0,SELL_FAILED,408.67,0,3.921,3.921,9216.1,-0.88445884,19.0
2023-10-30,1,HOLD,87.683,0,3.921,3.921,9216.1,0.03853589,16.0
2023-10-30,2,SELL_FAILED,22.259,0,3.921,3.921,9216.1,-0.98988956,2.0
2023-10-30,3,SELL_FAILED,185.1,0,3.921,3.921,9216.1,-0.99170345,0.0
2023-10-31,0,SELL_FAILED,411.236,0,3.921,3.921,9263.78,-0.8843488,19.0
2023-10-31,1,HOLD,87.626,0,3.921,3.921,9263.78,0.03742801,16.0
2023-10-31,2,SELL_FAILED,22.178,0,3.921,3.921,9263.78,-0.98991823,2.0
2023-10-31,3,SELL_FAILED,184.09,0,3.921,3.921,9263.78,-0.9916881,0.0
2023-11-01,0,SELL_FAILED,415.622,0,3.921,3.921,9362.67,-0.88438815,19.0
2023-11-01,1,HOLD,88.594,0,3.921,3.921,9362.67,0.036965374,16.0
2023-11-01,2,SELL_FAILED,22.214,0,3.921,3.921,9362.67,-0.9899254,2.0
2023-11-01,3,SELL_FAILED,183.51,0,3.921,3.921,9362.67,-0.9916846,0.0
2023-11-02,0,SELL_FAILED,423.587,0,3.921,3.921,9523.02,-0.8842908,19.0
2023-11-02,1,HOLD,89.128,0,3.921,3.921,9523.02,0.036359474,16.0
2023-11-02,2,SELL_FAILED,22.449,0,3.921,3.921,9523.02,-0.9899386,2.0
2023-11-02,3,SELL_FAILED,184.12,0,3.921,3.921,9523.02,-0.9916764,0.0
2023-11-03,0,SELL_FAILED,427.452,0,3.921,3.921,9604.89,-0.8843464,19.0
2023-11-03,1,HOLD,89.67,0,3.921,3.921,9604.89,0.038024604,16.0
